location,date,iso_code,continent,new_cases,total_cases,new_deaths,total_deaths,reproduction_rate,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_tests_per_thousand,positive_rate,hospital_beds_per_thousand,population,population_density,median_age,gdp_per_capita,stringency_index,confirmed_cases,rolling_7day,rolling_14day,Rt,growth_rate,doubling_time,cases_per_million,future_cases_14d,future_growth,outbreak_label,xgb_risk,xgb_risk_label,warning
Jamaica,2024-08-04,JAM,North America,12.0,157181.0,0.0,3611.0,0.03,30.41,26.88,397.6,0.22,1.7,2827382,266.88,31.4,8193.57,11.11,154416.0,1.7142857142857142,2.357142857142857,1.0,7.635093434466e-05,9168.191666654544,55592.417296283274,1.7142857142857142,0.3157894736842105,0,2,High,"⚠️ Low Vaccination, High Positivity Rate"
Japan,2024-08-04,JPN,Asia,0.0,33803572.0,0.0,74694.0,0.92,84.47,83.4,429.37,0.15,13.05,123951696,347.78,48.2,39002.22,33.33,33320438.0,0.0,0.0,1.0,0.0,962.012087554555,272715.6875691318,0.0,0.0,0,2,High,✅ Stable
Jersey,2024-08-04,JEY,Europe,0.0,66391.0,0.0,161.0,,76.14,73.9,,,,110796,,,,,,0.0,0.0,1.0,0.0,3574.199999998451,599218.3833351384,0.0,0.0,0,0,Low,✅ Stable
Jordan,2024-08-04,JOR,Asia,0.0,1746997.0,0.0,14122.0,-0.01,42.72,40.39,1507.25,0.02,1.4,11285875,109.28,23.2,8337.49,0.0,1746997.0,0.0,0.0,1.0,0.0,621.6398982187872,154794.99817249438,0.0,0.0,0,0,Low,✅ Stable
Kazakhstan,2024-08-04,KAZ,Asia,0.0,1504370.0,0.0,19072.0,-0.01,55.98,54.79,623.29,0.03,6.7,19397998,6.68,30.6,24055.59,5.56,1498668.0,0.0,0.0,1.0,0.0,175509.13333271342,77552.84849498386,0.0,0.0,0,0,Low,✅ Stable
Kenya,2024-08-04,KEN,Africa,0.0,344106.0,0.0,5689.0,0.54,26.83,20.53,70.33,0.11,1.4,54027484,87.32,20.0,2993.03,22.77,342937.0,0.0,0.0,1.0,0.0,240873.49999111064,6369.09170154953,0.0,0.0,0,0,Low,"⚠️ Low Vaccination, High Positivity Rate"
Kiribati,2024-08-04,KIR,Oceania,0.0,5085.0,0.0,24.0,-0.0,76.88,62.08,,,1.9,131237,143.7,23.2,1981.13,0.0,5014.0,0.0,0.0,1.0,0.0,1185.7999999999083,38746.69491073401,0.0,0.0,0,0,Low,✅ Stable
Kosovo,2024-08-04,OWID_KOS,Europe,0.0,274279.0,0.0,3212.0,1.52,50.89,46.3,1036.05,0.08,,1782115,168.16,,9795.83,25.04,273312.0,0.0,0.0,1.0,0.0,5999.153125001629,153906.45384837678,0.0,0.0,0,2,High,✅ Stable
Kuwait,2024-08-04,KWT,Asia,0.0,667290.0,0.0,2570.0,0.06,80.99,78.39,1931.45,0.02,2.0,4268886,232.13,33.7,65530.54,5.56,663860.0,0.0,0.0,1.0,0.0,14596.2687500248,156314.78563728335,0.0,0.0,0,2,High,✅ Stable
Kyrgyzstan,2024-08-04,KGZ,Asia,0.0,88953.0,0.0,1024.0,0.01,26.19,21.2,,,4.5,6630621,32.33,26.3,3393.47,11.11,206708.0,0.0,0.0,1.0,0.0,12452.720000015965,13415.485517872306,0.0,0.0,0,0,Low,✅ Stable
